time,power
8138,99.3461
8139,99.3461
8140,99.3461
8141,99.3461
8142,99.3461
8143,99.3461
8144,99.3461
8145,99.3461
8146,99.3461
8147,1103.7061
8148,99.3461
8149,99.3461
8150,99.3461
8151,99.3461
8152,99.3461
8153,99.3461
8154,99.3461
8155,99.3461
8156,99.3461
8157,99.3461
8158,99.3461
8159,99.3461
8160,289.6261
8161,245.9981
8162,229.9481
8163,1228.4031
8164,221.8711
8165,221.0721
8166,220.7781
8167,220.6701
8168,220.6301
8169,220.6161
8170,400.7701
8171,400.7681
8172,400.7681
8173,279.5061
8174,279.5061
8175,279.5061
8176,279.5061
8177,279.5061
8178,1868.9261
8179,2873.2861
8180,1868.9261
8181,1868.9261
8182,1868.9261
8183,1868.9261
8184,1868.9261
8185,1868.9261
8186,1868.9261
8187,1868.9261
8188,1868.9261
8189,1868.9261
8190,1868.9261
8191,1868.9261
8192,1868.9261
8193,1868.9261
8194,1868.9261
8195,2873.2861
8196,1868.9261
8197,281.8081
8198,281.8081
8199,281.8081
8200,281.8081
8201,281.8081
8202,281.8081
8203,281.8081
8204,281.8081
8205,281.8081
8206,281.8081
8207,2137.2691
8208,2113.0201
8209,2104.1001
8210,2100.8181
8211,3103.9711
8212,2099.1671
8213,2273.9391
8214,2239.3771
8215,2226.6621
8216,2221.9851
8217,2220.2641
8218,2219.6311
8219,2219.3981
8220,2219.3121
8221,2219.2811
8222,608.7281
8223,608.7241
8224,608.7221
8225,608.7221
8226,608.7211
8227,1613.0811
8228,608.7211
8229,488.3671
8230,488.3671
8231,488.3671
8232,99.3461
8233,99.3461
8234,99.3461
8235,99.3461
8236,99.3461
8237,99.3461
8238,99.3461
8239,99.3461
8240,99.3461
8241,99.3461
8242,99.3461
8243,1103.7061
8244,99.3461
8245,99.3461
8246,99.3461
8247,99.3461
8248,99.3461
8249,99.3461
8250,99.3461
8251,99.3461
8252,99.3461
8253,99.3461
8254,99.3461
8255,99.3461
8256,99.3461
8257,99.3461
8258,99.3461
8259,1103.7061
8260,99.3461
8261,99.3461
8262,99.3461
8263,99.3461
8264,99.3461
8265,99.3461
8266,293.8271
8267,245.5201
8268,227.7491
8269,221.2121
8270,218.8071
8271,217.9221
8272,217.5971
8273,217.4771
8274,217.4331
8275,1221.7771
8276,217.4111
8277,217.4081
8278,217.4081
8279,217.4071
8280,217.4071
8281,99.3461
8282,99.3461
8283,99.3461
8284,99.3461
8285,99.3461
8286,99.3461
8287,1289.5761
8288,1289.5761
8289,1289.5761
8290,1289.5761
8291,2293.9361
8292,1289.5761
8293,1289.5761
8294,1418.1941
8295,1418.1941
8296,1418.1941
8297,1418.1941
8298,1418.1941
8299,1418.1941
8300,1418.1941
8301,1418.1941
8302,1418.1941
8303,1418.1941
8304,1418.1941
8305,1418.1941
8306,1783.4341
8307,2690.5701
8308,460.2131
8309,447.0551
8310,442.2151
8311,440.4341
8312,439.7791
8313,439.5381
8314,439.4501
8315,439.4171
8316,439.4051
8317,439.4011
8318,482.3199
8319,482.3189
8320,482.3189
8321,641.4989
8322,617.2259
8323,1612.6559
8324,605.0109
8325,603.8019
8326,603.3579
8327,603.1939
8328,603.1339
8329,603.1119
8330,603.1039
8331,603.1009
8332,603.0999
8333,603.0989
8334,603.0989
8335,603.0989
8336,603.0989
8337,482.3189
8338,270.8849
8339,1275.2449
8340,270.8849
8341,270.8849
8342,270.8849
8343,270.8849
8344,270.8849
8345,270.8849
8346,270.8849
8347,270.8849
8348,270.8849
